,name,album,artist,length,acousticness,danceability,energy,loudness,tempo,valence,playlist
0,King Of The Road,All Time Greatest Hits,Roger Miller,148280,0.652,0.674,0.365,-10.23,118.009,0.532,1960s
1,Mama Tried,Mama Tried/ Pride In What I Am,Merle Haggard,134453,0.719,0.738,0.538,-10.118,97.487,0.81,1960s
2,Sea of Heartbreak,The Essential Don Gibson,Don Gibson,151773,0.37,0.594,0.48,-12.03,91.18,0.799,1960s
3,Act Naturally,All-Time Greatest Hits,Buck Owens,143693,0.336,0.552,0.474,-6.847,92.156,0.7,1960s
4,Jackson (with June Carter Cash),Keep On the Sunny Side - June Carter Cash: Her Life In Music,June Carter Cash,166266,0.552,0.707,0.483,-9.929,128.32,0.79,1960s
5,Gentle On My Mind - Remastered 2001,Gentle On My Mind (Remastered),Glen Campbell,178626,0.189,0.597,0.415,-13.799,108.987,0.826,1960s
6,Me And Bobby McGee,Super Hits,Roger Miller,196400,0.392,0.538,0.492,-14.736,166.049,0.899,1960s
7,Last Date - Instrumental,Super Hits,Floyd Cramer,146760,0.858,0.615,0.306,-12.026,103.818,0.613,1960s
8,Harper Valley P.T.A.,Harper Valley P.T.A. (The Plantation Recordings 1968-70),Jeannie C. Riley,194400,0.629,0.795,0.448,-13.427,122.318,0.96,1960s
9,Daddy Sang Bass,The Essential Johnny Cash,Johnny Cash,140440,0.699,0.681,0.638,-7.818,96.882,0.677,1960s
10,Don't Worry,The Story Of My Life: The Best Of Marty Robbins 1952-1965,Marty Robbins,194160,0.879,0.648,0.165,-16.446,99.585,0.435,1960s
11,Together Again,Together Again / My Heart Skips a Beat,Buck Owens,148400,0.585,0.413,0.254,-9.899,76.904,0.526,1960s
12,Six Days On The Road,20th Century Masters: The Millennium Collection: Best Of Dave Dudley,Dave Dudley,134706,0.708,0.703,0.549,-10.952,90.382,0.919,1960s
13,Hello Walls,Classic Country Gold,Various Artists,142626,0.775,0.596,0.327,-11.569,102.198,0.65,1960s
14,500 Miles Away from Home,Super Hits,Bobby Bare,162506,0.659,0.519,0.374,-13.115,109.253,0.521,1960s
