,name,album,artist,release_date,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,time_signature,playlist
0,King Of The Road,All Time Greatest Hits,Roger Miller,2003-01-01,148280,0,0.652,0.674,0.365,0.0,0.14,-10.23,0.0758,118.009,0.532,11,4,1960s
1,Sea of Heartbreak,The Essential Don Gibson,Don Gibson,2014-03-28,151773,46,0.37,0.594,0.48,9.04e-05,0.33,-12.03,0.0351,91.18,0.799,7,4,1960s
2,Jackson (with June Carter Cash),Keep On the Sunny Side - June Carter Cash: Her Life In Music,June Carter Cash,1952,166266,47,0.552,0.707,0.483,0.000143,0.388,-9.929,0.0371,128.32,0.79,0,4,1960s
3,Gentle On My Mind - Remastered 2001,Gentle On My Mind (Remastered),Glen Campbell,1967,178626,63,0.189,0.597,0.415,0.0,0.123,-13.799,0.0323,108.987,0.826,3,4,1960s
4,Act Naturally,All-Time Greatest Hits,Buck Owens,2010-08-31,143693,60,0.336,0.552,0.474,0.0,0.173,-6.847,0.0275,92.156,0.7,7,4,1960s
5,Mama Tried,Mama Tried/ Pride In What I Am,Merle Haggard,2006-01-01,134453,62,0.719,0.738,0.538,1.35e-05,0.0653,-10.118,0.0374,97.487,0.81,2,4,1960s
6,Last Date - Instrumental,Super Hits,Floyd Cramer,1979,146760,47,0.858,0.615,0.306,0.958,0.15,-12.026,0.0289,103.818,0.613,0,3,1960s
7,Six Days On The Road,20th Century Masters: The Millennium Collection: Best Of Dave Dudley,Dave Dudley,2002-01-01,134706,47,0.708,0.703,0.549,5.57e-06,0.361,-10.952,0.0493,90.382,0.919,2,4,1960s
8,Harper Valley P.T.A.,Harper Valley P.T.A. (The Plantation Recordings 1968-70),Jeannie C. Riley,2013-09-30,194400,54,0.629,0.795,0.448,0.0,0.0659,-13.427,0.0444,122.318,0.96,4,4,1960s
9,Devil Woman,The Story Of My Life: The Best Of Marty Robbins 1952-1965,Marty Robbins,1996-03-12,172666,48,0.921,0.684,0.277,6.54e-06,0.124,-13.1,0.0533,145.155,0.642,4,4,1960s
10,Detroit City,Super Hits,Bobby Bare,2004-06-18,169933,48,0.518,0.519,0.319,9.05e-06,0.096,-13.142,0.0287,121.647,0.473,11,4,1960s
11,Daddy Sang Bass,The Essential Johnny Cash,Johnny Cash,2002-02-12,140440,59,0.699,0.681,0.638,0.000629,0.0581,-7.818,0.0367,96.882,0.677,4,4,1960s
12,Me And Bobby McGee,Super Hits,Roger Miller,1996,196400,48,0.392,0.538,0.492,0.00182,0.051,-14.736,0.0323,166.049,0.899,2,4,1960s
13,Love's Gonna Live Here,All-Time Greatest Hits,Buck Owens,2010-08-31,124146,51,0.464,0.621,0.552,0.00135,0.0735,-6.986,0.0242,92.668,0.969,8,4,1960s
14,She Thinks I Still Care - Single Version,Best Of,George Jones,2013-01-01,153333,0,0.642,0.552,0.362,0.0,0.124,-9.847,0.0297,115.023,0.639,11,4,1960s
15,Okie From Muskogee,Down Every Road 1962-1994,Merle Haggard,1996-01-01,164106,50,0.334,0.59,0.394,2.51e-05,0.328,-13.337,0.0321,139.936,0.717,2,4,1960s
16,Don't Worry,The Story Of My Life: The Best Of Marty Robbins 1952-1965,Marty Robbins,1996-03-12,194160,46,0.879,0.648,0.165,0.000216,0.13,-16.446,0.0348,99.585,0.435,4,4,1960s
17,Big Bad John,The Best Of Jimmy Dean,Jimmy Dean,1961,182560,56,0.596,0.516,0.457,0.0,0.106,-12.609,0.184,173.934,0.455,8,4,1960s
18,"Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",At Folsom Prison (Legacy Edition),Johnny Cash,1968,156426,0,0.0215,0.594,0.577,0.00792,0.883,-12.772,0.0534,110.783,0.89,0,4,1960s
19,I've Got A Tiger By The Tail - 2006 Remastered Version,21 #1 Hits: The Ultimate Collection,Buck Owens,2006-08-01,133866,51,0.595,0.701,0.497,3.12e-05,0.118,-10.05,0.0316,96.513,0.963,4,4,1960s
20,Ode To Billie Joe,Ode To Billie Joe,Bobbie Gentry,1967-08-21,255001,58,0.721,0.637,0.189,0.0,0.0939,-10.726,0.0471,120.142,0.695,7,4,1960s
21,The Race Is On,Best Of,George Jones,2013-01-01,126533,0,0.454,0.465,0.674,0.0,0.233,-8.318,0.0833,171.246,0.923,9,4,1960s
22,Hello Walls,Classic Country Gold,Various Artists,2005-01-01,142626,0,0.775,0.596,0.327,0.0,0.232,-11.569,0.0319,102.198,0.65,0,4,1960s
23,I Fall To Pieces - Single Version,Sweet Dreams: Her Complete Decca Masters (1960-1963),Patsy Cline,2010-01-01,167693,0,0.884,0.555,0.218,7.36e-05,0.289,-11.793,0.0319,111.584,0.612,10,4,1960s
24,Skip a Rope,All-American Cowboy,Henson Cargill,1988,160784,50,0.608,0.623,0.51,0.00267,0.0699,-13.092,0.0374,145.604,0.54,6,4,1960s
25,A Boy Named Sue - Live Version,The Greatest: The Number Ones,Johnny Cash,2012-08-07,225266,0,0.758,0.688,0.445,0.0,0.71,-11.974,0.198,101.636,0.92,10,4,1960s
26,Swinging Doors,Super Hits Collection - 32 Songs - Swinging Doors,Merle Haggard,2005,172920,31,0.0234,0.79,0.523,0.00102,0.109,-7.627,0.0293,122.358,0.606,5,4,1960s
27,Just Between You and Me,Super Hits,Charley Pride,1996-10-14,134786,46,0.618,0.527,0.439,0.0,0.345,-11.593,0.0323,110.195,0.659,6,4,1960s
28,500 Miles Away from Home,Super Hits,Bobby Bare,2004-06-18,162506,46,0.659,0.519,0.374,6.88e-06,0.644,-13.115,0.0314,109.253,0.521,7,4,1960s
